,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,84,PF,1587177121,75,-9.8,-139.03,82.35,13.06
1,belaya gora,79,RU,1587176651,89,68.53,146.42,3.6,5.99
2,sanmenxia,100,CN,1587177122,53,34.77,111.18,54.79,13.04
3,nemuro,20,JP,1587176580,26,43.32,145.57,59.0,11.41
4,punta arenas,14,CL,1587176568,75,-53.15,-70.92,44.6,10.29
5,bluff,47,NZ,1587177123,51,-46.6,168.33,60.01,10.0
6,leticia,40,CO,1587177123,100,-4.22,-69.94,75.2,2.59
7,maha sarakham,100,TH,1587177124,74,16.18,103.3,82.4,4.7
8,cortes,100,ES,1587177125,82,41.94,-1.44,59.0,4.7
9,tuktoyaktuk,90,CA,1587176604,85,69.45,-133.04,15.8,14.99
10,bengkulu,77,ID,1587176619,68,-3.8,102.27,84.81,4.85
11,imeni poliny osipenko,97,RU,1587177126,64,52.42,136.49,39.74,10.89
12,nahrin,13,AF,1587177126,33,36.06,69.13,56.59,1.28
13,nikolskoye,75,RU,1587176597,89,59.7,30.79,37.4,11.18
14,black river,20,JM,1587177099,78,18.03,-77.85,80.6,8.05
15,puerto ayora,82,EC,1587176587,94,-0.74,-90.35,75.99,1.01
16,albany,100,US,1587176403,76,42.6,-73.97,41.0,3.87
17,cayenne,90,GF,1587176523,100,4.93,-52.33,75.2,6.6
18,qaanaaq,13,GL,1587176569,80,77.48,-69.36,11.48,8.03
19,arraial do cabo,73,BR,1587176576,70,-22.97,-42.03,73.8,10.36
20,barrow,90,US,1587176582,85,71.29,-156.79,10.4,17.22
21,severo-yeniseyskiy,83,RU,1587177129,69,60.37,93.04,39.4,1.5
22,castro,69,BR,1587176575,67,-24.79,-50.01,51.35,3.85
23,kodiak,90,US,1587176366,76,57.79,-152.41,50.0,10.29
24,rikitea,1,PF,1587176569,63,-23.12,-134.97,77.36,1.99
25,alice springs,6,AU,1587177130,31,-23.7,133.88,78.8,10.29
26,adrar,80,MR,1587176667,22,20.5,-10.07,83.28,10.76
27,montrose,1,US,1587177130,23,38.42,-108.27,53.6,3.36
28,ushuaia,40,AR,1587176304,40,-54.8,-68.3,51.8,19.46
29,key west,20,US,1587176975,83,24.56,-81.78,82.4,3.36
30,necochea,2,AR,1587176429,86,-38.55,-58.74,61.0,7.0
31,kavieng,60,PG,1587176453,71,-2.57,150.8,82.98,4.41
32,cap malheureux,75,MU,1587176925,83,-19.98,57.61,75.2,8.05
33,busselton,98,AU,1587176338,42,-33.65,115.33,72.0,7.09
34,kaffrine,39,SN,1587177132,34,14.11,-15.55,73.74,15.46
35,chuy,2,UY,1587176593,83,-33.7,-53.46,60.62,5.37
36,komsomolskiy,30,UZ,1587176588,54,40.43,71.72,59.0,4.7
37,upernavik,98,GL,1587176573,90,72.79,-56.15,21.58,4.09
38,kars,2,TR,1587177133,92,40.6,43.09,32.0,1.12
39,teahupoo,89,PF,1587177133,70,-17.83,-149.27,86.0,5.82
40,sitka,75,US,1587176360,76,57.05,-135.33,51.8,3.36
41,tual,93,ID,1587177134,73,-5.67,132.75,84.99,8.48
42,portland,75,US,1587177118,16,45.52,-122.68,73.4,6.93
43,aasiaat,100,GL,1587177134,91,68.71,-52.87,23.77,5.86
44,new norfolk,93,AU,1587177134,75,-42.78,147.06,55.0,1.99
45,orange cove,98,US,1587177005,59,36.62,-119.31,64.99,3.4
46,hoshcha,50,UA,1587177135,81,50.6,26.67,33.48,6.17
47,ilulissat,100,GL,1587176581,79,69.22,-51.1,26.6,4.7
48,hithadhoo,10,MV,1587176571,79,-0.6,73.08,83.88,14.45
49,mataura,35,NZ,1587176336,61,-46.19,168.86,59.0,8.01
50,tsiroanomandidy,7,MG,1587177136,66,-18.77,46.03,59.34,3.51
51,bredasdorp,100,ZA,1587176585,87,-34.53,20.04,57.99,3.36
52,ola,100,RU,1587177137,95,59.58,151.28,23.43,17.87
53,moranbah,23,AU,1587176887,28,-22.0,148.05,89.58,2.35
54,saint-philippe,38,RE,1587176586,78,-21.36,55.77,71.6,9.17
55,gasa,0,PS,1587177137,76,31.5,34.47,61.0,1.5
56,hobart,40,AU,1587176458,50,-42.88,147.33,55.0,14.99
57,egvekinot,95,RU,1587177079,89,66.32,-179.17,12.52,17.78
58,kapaa,1,US,1587176574,65,22.08,-159.32,80.6,12.75
59,port elizabeth,20,ZA,1587176345,87,-33.92,25.57,60.8,6.93
60,bambous virieux,75,MU,1587176582,83,-20.34,57.76,75.2,8.05
61,roald,4,NO,1587176596,74,62.58,6.13,34.0,4.7
62,ribeira grande,67,PT,1587176359,80,38.52,-28.7,60.24,12.75
