,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint-philippe,20,RE,1587516917,68,-21.36,55.77,71.6,8.05
1,bluff,98,NZ,1587516917,84,-46.6,168.33,55.0,3.0
2,hilo,1,US,1587516917,51,19.73,-155.09,84.2,19.46
3,albany,20,US,1587516865,38,42.6,-73.97,41.0,17.22
4,bredasdorp,0,ZA,1587516918,81,-34.53,20.04,51.8,3.36
5,punta arenas,98,CL,1587516918,66,-53.15,-70.92,48.2,31.09
6,cherskiy,95,RU,1587516919,95,68.75,161.3,19.02,8.3
7,hermanus,1,ZA,1587516919,97,-34.42,19.23,48.99,1.99
8,busselton,99,AU,1587516919,75,-33.65,115.33,68.0,14.07
9,rikitea,72,PF,1587516920,77,-23.12,-134.97,76.6,13.04
10,necochea,100,AR,1587516759,61,-38.55,-58.74,53.56,2.89
11,mount gambier,90,AU,1587516647,87,-37.83,140.77,57.2,5.82
12,san policarpo,67,PH,1587516920,82,12.18,125.51,82.24,11.56
13,winnemucca,75,US,1587516921,14,40.97,-117.74,69.8,4.7
14,pemberton,75,CA,1587516921,61,50.32,-122.8,50.0,5.82
15,helena,1,US,1587516921,19,46.59,-112.04,68.0,18.34
16,klaksvik,22,FO,1587516760,81,62.23,-6.59,42.8,6.93
17,norman wells,75,CA,1587516924,73,65.28,-126.83,23.0,13.87
18,mataura,99,NZ,1587516924,84,-46.19,168.86,55.0,3.0
19,kodiak,90,US,1587516924,87,57.79,-152.41,44.6,6.93
20,tuktoyaktuk,90,CA,1587516926,78,69.45,-133.04,8.6,18.34
21,carutapera,100,BR,1587516926,84,-1.2,-46.02,79.0,10.02
22,carnarvon,10,AU,1587516926,78,-24.87,113.63,73.4,10.29
23,kapaa,40,US,1587516632,65,22.08,-159.32,80.6,13.87
24,daru,94,PG,1587516927,82,-9.08,143.21,82.53,15.93
25,grimmen,0,DE,1587516927,86,54.11,13.04,42.01,6.93
26,vardo,20,NO,1587516928,69,70.37,31.11,35.6,29.97
27,kabinda,100,CD,1587516928,76,-6.13,24.48,68.72,2.64
28,corn island,6,NI,1587516928,70,12.17,-83.04,82.27,8.59
29,forestville,1,US,1587516928,27,38.85,-76.88,55.0,13.87
30,xinzhou,0,CN,1587516929,32,38.41,112.73,38.8,3.47
31,cape town,0,ZA,1587516870,82,-33.93,18.42,57.2,4.7
32,hobart,20,AU,1587516898,41,-42.88,147.33,57.2,23.04
33,zhezkazgan,19,KZ,1587516930,35,47.8,67.71,58.39,6.2
34,jamestown,90,US,1587516930,63,42.1,-79.24,32.0,20.8
35,georgetown,20,MY,1587516930,94,5.41,100.34,82.4,3.62
36,qaanaaq,100,GL,1587516931,94,77.48,-69.36,21.38,7.34
37,airai,39,TL,1587516931,52,-8.93,125.41,67.5,4.72
38,vaini,75,TO,1587516931,83,-21.2,-175.2,82.4,9.17
39,ambilobe,98,MG,1587516932,83,-13.2,49.05,71.74,4.63
40,shellbrook,5,CA,1587516932,61,53.22,-106.4,46.4,5.82
41,new norfolk,55,AU,1587516933,71,-42.78,147.06,55.0,4.0
42,pitimbu,75,BR,1587516933,100,-7.47,-34.81,77.0,6.2
43,grand gaube,4,MU,1587516933,77,-20.01,57.66,75.0,5.99
44,nikolskoye,25,RU,1587516933,56,59.7,30.79,42.8,8.95
45,shu,1,KZ,1587516934,52,43.6,73.76,56.77,5.66
46,kaffrine,0,SN,1587516934,23,14.11,-15.55,86.0,6.93
47,petropavlovsk-kamchatskiy,75,RU,1587516686,44,53.05,158.65,37.4,11.18
48,la rioja,90,ES,1587516934,87,42.25,-2.5,51.8,8.05
49,hamilton,1,US,1587516848,23,39.18,-84.53,51.8,11.41
50,castro,0,BR,1587516823,55,-24.79,-50.01,58.17,2.98
